 Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2,Activity_Name
238227,133788,41616,47197,38036,21621,13939,18365,Stationary
673677,265382,58946,90563,26135,35763,39377,5597,Stationary
285837,25029,4700,3552,3029,3016,1630,1588,Stationary
17353,83276,34478,14126,5859,7746,14846,9634,Stationary
23258,6689,30816,6094,14437,8186,18345,3853,Stationary
138648,30852,42676,17809,17295,18451,14674,5701,Stationary
766116,67974,22064,22806,12767,11185,9806,7494,Stationary
75164,25343,9343,4103,5043,4150,2701,958,Stationary
2278155,46710,30292,36930,22749,16396,17159,3863,Stationary
34314,90122,16866,34572,23448,4235,13866,3909,Stationary
2801,12632,15924,2371,2304,9676,7274,3157,Stationary
66606,9573,1664,4117,2016,3006,4420,1257,Stationary
260023,24318,2690,3785,4661,5288,2290,2180,Stationary
449199,69472,14809,25813,8183,10112,15082,4604,Stationary
74355,25704,9845,10028,3365,3375,2172,542,Stationary
68406,18354,8134,8112,3699,2259,2449,2622,Stationary
58055,49288,24858,28180,11265,20895,17520,3957,Stationary
73763,46816,41269,8774,6648,9665,8847,5850,Stationary
12999,8866,6578,4772,2173,16570,11159,3413,Stationary
249903,131782,67972,16667,11871,13809,13201,2446,Stationary
1790,17407,12132,4645,7593,9823,16547,2000,Stationary
231357,89337,29059,4336,16840,9022,8397,25682,Stationary
4156,21406,7927,2686,10273,15509,9279,3562,Stationary
54229,13989,5848,4550,2281,2674,3520,699,Stationary
14438,39525,6139,14445,15783,10991,8413,2171,Stationary
120369,20536,65544,18978,33648,21849,11975,6395,Stationary
8042,15665,5281,8937,4387,23249,8303,2280,Stationary
309373,129174,78242,20394,7921,12146,16913,5588,Stationary
51394,23609,27986,5278,2026,9125,13968,4050,Stationary
99043,50060,20409,7707,13118,16008,8204,3510,Stationary
184173,36357,50625,9803,6672,18912,9802,4238,Stationary
22006,14545,8280,6006,4497,8514,5881,2452,Stationary
327796,31367,12851,5221,5286,3273,4677,1806,Stationary
5951,17807,8822,4863,3388,14962,9073,2035,Stationary
97177,17717,67221,5124,9275,5000,22167,3894,Stationary
100341,11593,10697,3984,2668,2339,3272,1512,Stationary
61594,26802,3204,2690,2420,2891,5026,923,Stationary
7498,7088,26435,5880,3872,10375,7943,2416,Stationary
19289,19474,8279,843,3744,14028,5124,14768,Stationary
303393,52369,6260,14850,6572,3485,2789,1157,Stationary
38190,103166,8841,7964,3890,19357,5904,3435,Stationary
294531,34787,4750,5778,3618,3055,3327,1505,Stationary
229392,62643,38434,26504,14890,11980,11628,3716,Stationary
98000,22364,18054,23788,6971,14815,10758,4421,Stationary
124393,133172,10096,8191,5760,3614,3660,763,Stationary
9867,41813,38066,9998,8434,17937,12922,4145,Stationary
380620,89292,8630,51732,18195,23654,5208,6029,Stationary
20264,68439,15277,9203,9106,14615,3852,4784,Stationary
21341,8845,27172,10296,5494,10743,9110,5468,Stationary
39475,43268,16444,10984,6734,27138,2935,4807,Stationary
49400,69430,35068,31525,11062,16801,7484,4393,Stationary
290856,22692,6015,1114,2120,2848,413,122,Stationary
60112,15514,8168,4263,9461,10177,5760,2118,Stationary
14045,55286,22875,9649,10404,6369,3733,4736,Stationary
81861,10205,8307,4746,5098,1284,965,347,Stationary
183693,71662,48441,22491,30372,7233,3925,3550,Stationary
386766,124551,41850,6474,46784,17549,8279,3366,Stationary
116513,9918,17714,11438,1775,2109,4094,847,Stationary
18179,19162,10124,4484,7379,6987,3864,2602,Stationary
14490,24125,1659,8355,2006,3715,3328,1918,Stationary
17328,10362,14325,18866,8964,5938,5090,1691,Stationary
111986,17182,5434,4984,4644,1093,1616,571,Stationary
76220,34496,4336,5883,897,1255,1444,1049,Stationary
66277,12136,18047,25856,23186,14428,4357,4011,Stationary
96751,16121,12307,4055,5253,3912,1191,614,Stationary
949007,107787,8882,10975,8313,8332,4259,4325,Stationary
130639,120461,11454,8518,5932,3943,1871,2451,Stationary
388822,47297,1712,9091,2590,2257,1295,1065,Stationary
53044,11608,13414,3882,1806,1053,1134,311,Stationary
9569,20676,18754,4760,7986,11208,4487,4785,Stationary
34048,42498,9401,4778,1477,2627,1811,535,Stationary
146426,43538,2613,5214,2506,1122,457,676,Stationary
15807,31189,32228,12873,15607,7536,6454,1936,Stationary
54940,10311,2248,3049,1167,4771,1064,1139,Stationary
5132,5427,11567,5826,10835,5613,3607,2012,Stationary
14119,15666,18587,22643,8581,6747,11305,4874,Stationary
295268,11117,433,5329,4014,6155,2687,2411,Stationary
410628,31085,28381,12950,13950,11652,15630,4692,Stationary
1132914,485500,118014,44993,26338,32086,14029,6691,Stationary
111753,116191,13911,21937,16054,16286,3224,2508,Stationary
26303,40462,25271,24231,14824,26802,9082,5975,Stationary
7394,12600,5116,6991,7045,16371,8144,4151,Stationary
8733,109676,9795,14082,9996,10810,8979,2411,Stationary
271128,37996,20981,9117,6649,16409,5310,3474,Stationary
235663,201205,47499,11406,24995,10440,5007,7191,Stationary
41480,38430,7065,4542,5308,3228,1567,518,Stationary
286945,23219,1698,12649,17204,12216,18704,3112,Stationary
1405272,39642,47468,39813,33272,11130,16338,3564,Stationary
30486,23887,2560,29641,23701,15655,9547,2950,Stationary
82774,42450,7823,2597,1063,3022,4085,1710,Stationary
149048,57328,17043,2862,3081,1365,2559,1315,Stationary
80406,12757,521,2316,837,1462,762,428,Stationary
1644147,52013,11538,26523,9201,11973,6637,4031,Stationary
4029,49534,29453,8673,18649,17129,9203,2497,Stationary
576709,37160,8344,23917,5107,16180,6202,2234,Stationary
33087,107486,57468,17139,8735,10046,6986,2322,Stationary
41401,11144,30728,7891,12273,8652,8068,4117,Stationary
190017,26591,1937,1446,825,1801,1598,644,Stationary
19653,16764,41360,38623,10998,8025,20226,3564,Stationary
23906,37538,2133,10393,7694,31278,7276,4496,Stationary
10824,11257,8053,5552,4960,18641,4416,1734,Stationary
864752,220719,22610,31655,20673,18787,15579,6110,Stationary
10901,26843,1123,2770,14850,8459,10231,3141,Stationary
333586,32597,5057,2437,2613,2969,4696,686,Stationary
17049,12271,5440,8190,4822,16494,6298,3707,Stationary
51636,39024,9791,9393,5146,1735,4156,896,Stationary
121173,29987,26044,2172,1716,15136,14065,5394,Stationary
193661,124346,48007,61796,17857,27274,4127,5131,Stationary
15560,20358,7446,10703,6657,14489,3181,2035,Stationary
387741,96079,8963,14397,9774,17523,6215,2177,Stationary
20583,27991,63246,7303,23658,31007,7668,3326,Stationary
7358,8734,35125,14776,9594,10935,3482,7347,Stationary
8728,23893,10835,1735,10887,9856,3452,2683,Stationary
3345,89324,2487,7042,5889,18842,3826,7922,Stationary
44714,17597,4636,108,1615,5089,1592,649,Stationary
337581,37910,46430,11962,13426,10152,6516,7088,Stationary
28086,43277,8593,7701,9243,9748,4995,7070,Stationary
52472,38187,31448,9421,8533,12387,9834,2847,Stationary
37454,58687,21725,14653,14888,9110,5893,3568,Stationary
233772,29857,4924,1373,1780,1689,638,297,Stationary
1015724,207190,6806,29662,3864,15974,16541,4212,Stationary
368308,18432,674,3680,1516,3180,5209,957,Stationary
894554,66390,20489,14535,7581,3607,2994,2091,Stationary
24889,44468,8688,8080,7881,10612,4994,3717,Stationary
342713,184986,22193,28755,11842,13042,13765,4833,Stationary
72232,18601,702,4233,873,4281,2151,2237,Stationary
44595,45144,27421,3298,16284,10957,12030,5752,Stationary
56481,47637,2261,10980,4243,3092,1878,1351,Stationary
346549,29014,3147,2123,1697,836,769,283,Stationary
183066,35837,94605,23111,11927,22192,9829,3477,Stationary
258337,30215,129044,2597,18379,14355,12306,4102,Stationary
155641,33653,5370,1953,10228,6029,1884,1458,Stationary
132834,28828,34355,19068,23674,8386,11860,3820,Stationary
24257,26464,7017,12562,7609,9703,3744,4478,Stationary
13508,41811,19850,8616,4729,10007,9848,3934,Stationary
427584,27857,5557,7088,3934,2748,1916,1720,Stationary
33841,30978,16278,10410,34508,9203,18742,4202,Stationary
6553,15910,1867,4183,2333,17128,6935,3678,Stationary
11329,44441,15031,6819,2996,14631,16380,2517,Stationary
341186,101214,69485,26881,12729,14482,5485,3014,Stationary
498504,61162,61237,6902,13791,21522,8817,7515,Stationary
33802,18805,40392,3837,10661,13052,12527,7017,Stationary
140501,149081,17937,22203,25520,7340,14892,2077,Stationary
57921,15871,2120,3496,4175,2469,3342,1318,Stationary
391446,28686,14421,7149,2954,2017,2258,489,Stationary
81113,25520,10026,1715,3322,4035,3491,783,Stationary
58969,66922,29161,1979,8043,11048,5269,13065,Stationary
482253,85059,15133,72524,13958,10222,10868,2068,Stationary
206344,17459,2436,1135,5511,1761,2468,1844,Stationary
15887,49187,37295,24039,7013,13707,8319,6480,Stationary
25355,11473,1909,1800,1171,3939,1786,2070,Stationary
33029,9668,652,887,1298,577,444,754,Stationary
21102,19107,14822,8755,7769,10199,13294,7388,Stationary
27202,38194,56803,13645,11232,13193,3030,2233,Stationary
216902,34143,8581,5002,5146,3297,2457,1498,Stationary
59470,77323,23024,13275,13155,8420,8093,7469,Stationary
262614,103394,44019,6039,10375,10431,7621,5867,Stationary
187739,26008,7009,5028,4744,2974,1587,394,Stationary
16647,11300,10995,2545,3784,3429,1386,1169,Stationary
279844,16202,872,1468,1483,675,694,208,Stationary
239514,24756,20528,4960,3449,3250,2245,567,Stationary
82484,26284,20863,3278,1963,1955,1391,524,Stationary
104361,53133,27690,14162,5898,4946,4409,4242,Stationary
40690,28282,16638,15132,17885,10375,14870,6536,Stationary
316893,55662,14298,12154,8762,3418,4072,1466,Stationary
14125,33861,11230,16791,6844,8147,12150,3857,Stationary
6015,18915,5901,5081,6212,6373,7401,1909,Stationary
99794,51191,11968,13232,10459,9549,16036,7565,Stationary
342512,123957,120365,81111,28131,16516,24423,2658,Stationary
46472,46274,24650,12678,19404,15220,16703,1069,Stationary
313245,21294,2188,6103,4286,3767,12792,3607,Stationary
43165,37852,1710,19859,2274,7231,19665,10478,Stationary
10278,40473,961,10832,5740,18321,9285,10538,Stationary
259826,64751,20261,19792,9491,9639,12935,4580,Stationary
27357,15244,10730,2692,3290,11982,14519,10774,Stationary
19272,28818,6662,12651,6888,14322,12578,2349,Stationary
10711,35800,9109,11916,10627,54507,11622,2567,Stationary
13876,23741,6940,4105,7475,9442,13944,10283,Stationary
644748,28352,13633,758,15450,21940,9046,2372,Stationary
6352,19496,6458,8242,10855,14498,18453,4865,Stationary
135119,35908,64284,23026,13253,11890,31150,6711,Stationary
21627,9722,9066,2166,8748,14284,13839,8222,Stationary
375755,53797,775,1824,4303,3623,4490,1544,Stationary
1049,39895,15538,23894,11597,26508,18639,7866,Stationary
58773,70482,8580,41194,25889,9623,15412,2946,Stationary
13530,13703,2932,12446,7671,17290,12163,4734,Stationary
327097,22288,9506,3118,2872,5733,2215,693,Stationary
10878,15851,38408,6970,6608,11247,19648,5404,Stationary
71015,43728,42391,20867,3654,11602,26720,3378,Stationary
153735,33910,31698,8197,11209,15182,6779,6500,Stationary
88652,14614,5692,6629,3555,7376,2793,1490,Stationary
276707,117542,59176,51876,28365,14445,10741,6517,Stationary
301254,40458,28861,5064,12042,3280,2626,915,Stationary
47013,60762,23325,1863,6994,11219,9298,6163,Stationary
87017,24077,2228,5205,11052,3308,923,639,Stationary
23246,24012,29978,23203,8665,16146,9045,6145,Stationary
21626,10514,7129,18578,7513,12495,8216,5980,Stationary
312464,527689,58487,39902,23630,8914,6291,4111,Stationary
103222,37283,4945,5589,9703,7972,2805,2668,Stationary
184617,120245,17920,23040,18690,11371,11081,7743,Stationary
994918,19422,35192,18432,12437,7287,4651,1570,Stationary
644020,60478,11166,12720,11103,19124,13383,4313,Stationary
57428,59512,10625,9208,18648,9280,15141,3108,Stationary
97224,63051,61538,24111,15381,23747,5818,4856,Stationary
50403,21166,7190,23500,2909,7863,4515,11810,Stationary
303763,30687,6054,6193,4658,3288,2696,331,Stationary
512453,48106,32230,31619,17144,22467,7480,6873,Stationary
65305,69164,13146,3386,8834,3042,1283,887,Stationary
37353,87232,45969,28609,30939,26382,16757,5490,Stationary
94679,98288,6209,17686,13999,13729,16987,8136,Stationary
158023,36824,12958,5399,6739,6322,2812,1476,Stationary
268641,91311,77314,21540,6031,24455,8741,2075,Stationary
271028,224973,35710,17250,15430,17866,8500,7300,Stationary
59189,101233,3997,9646,8959,6458,1983,635,Stationary
15601,38596,11636,28903,24144,8242,19023,2925,Stationary
11758,5702,2465,8843,2753,10760,6953,4130,Stationary
299261,57807,5785,8150,9753,9823,11707,8759,Stationary
59863,8492,7021,8878,25766,12243,31886,16171,Stationary
304816,3455,3929,2108,1412,1215,1328,945,Stationary
424929,127442,18467,14998,19419,16007,5170,3798,Stationary
38771,59785,10728,8704,7133,5972,3562,2408,Stationary
160749,31907,9953,12235,11906,7744,6689,2036,Stationary
268048,5580,6397,754,1785,2118,1164,331,Stationary
61741,19090,2465,6701,2827,1925,796,341,Stationary
24121,16851,30666,11212,15677,7558,2574,2309,Stationary
143397,49024,21339,9256,4640,2843,1820,1286,Stationary
21135,3766,3328,4788,5778,5983,5590,2483,Stationary
64511,97667,19292,11038,4849,8907,2568,4001,Stationary
30985,20646,765,12555,10581,7346,2407,2174,Stationary
112216,9458,1081,2115,1035,2584,973,360,Stationary
118599,98725,47342,41629,22569,13473,7894,2969,Stationary
550882,22023,15244,3891,4168,1570,1585,413,Stationary
659846,74527,17284,3642,1957,13676,6523,8310,Stationary
16740,67935,5640,6929,8188,11272,13692,1706,Stationary
197602,238097,14911,3651,29149,14538,14673,4318,Stationary
220012,79187,15187,51231,21111,22175,5152,4333,Stationary
57078,21802,6348,11728,11607,7036,2140,3179,Stationary
27942,48009,15977,9364,15308,8408,9236,3633,Stationary
50212,22523,19838,9497,4004,9201,8895,4273,Stationary
48037,18773,7104,6793,15808,9092,6881,6034,Stationary
12786,5842,16580,10882,2995,14012,19006,1761,Stationary
53752,28303,9744,14682,9135,13945,6883,1948,Stationary
44397,47104,43317,65537,39477,8238,6778,6496,Stationary
102935,38120,24753,3556,4510,10431,9554,6113,Stationary
115842,35006,44529,13719,12299,22842,15000,2682,Stationary
32259,22872,28903,26665,8035,10571,11130,2247,Stationary
88956,46229,8451,20501,9805,9195,4953,3343,Stationary
6613,5272,16474,6815,25587,9049,9638,2857,Stationary
26083,13585,13534,1254,3125,3715,4306,666,Stationary
301905,89664,31186,20965,21627,5344,9388,2538,Stationary
17973,37644,7380,18682,19670,11975,21978,3015,Stationary
14867,67720,6708,30585,19687,15867,9258,8246,Stationary
790065,51976,33920,13053,3315,2453,4491,2529,Stationary
2294963,737067,147512,174363,102705,31522,41885,13720,Stationary
1046608,101299,171560,99116,36161,25999,18993,20797,Stationary
373263,28973,13832,9569,12875,2421,2072,1766,Stationary
1269054,338048,6592,24076,7489,44231,25186,19450,Stationary
320968,29472,4613,12985,14349,18745,12273,6554,Stationary
125162,159232,22681,26858,21691,9344,5286,7995,Stationary
143121,28720,32594,32747,7708,12051,6315,3458,Stationary
63470,77414,40580,6213,7587,8406,6660,1960,Stationary
22523,33307,13277,15006,4053,3481,1676,986,Stationary
113430,14404,3410,4342,2306,2973,1036,442,Stationary
40681,56004,11803,15064,9692,11035,12242,4359,Stationary
279191,206522,47353,24966,14645,12886,5339,2671,Stationary
18455,136149,4425,18578,16765,21240,4305,1898,Stationary
825213,45971,19447,10102,25411,11089,18649,1151,Stationary
76782,67255,15800,23967,27745,13898,16924,6185,Stationary
86049,40195,379,8252,20169,12044,15740,2766,Stationary
48256,87103,6905,51241,33515,9521,9632,2315,Stationary
51841,94933,37052,10021,15918,10422,5718,2848,Stationary
218267,10447,9080,2529,1370,2420,3276,1735,Stationary
521395,40239,40735,18120,12971,18202,13617,6598,Stationary
16766,96063,33185,15434,21076,15766,16524,3206,Stationary
11301,17571,13141,18709,15707,6844,4464,2305,Stationary
30570,22920,33777,9486,13269,17076,6484,5099,Stationary
24164,18736,14970,13579,18189,9432,10995,3685,Stationary
48711,54580,13311,31396,7470,4982,5329,5867,Stationary
618808,153223,30013,1738,9395,14647,8666,5193,Stationary
250565,27184,15235,2601,2652,4820,3246,1346,Stationary
27444,56899,3824,3253,3605,8472,5279,6890,Stationary
7878,8640,35612,1983,6301,12066,10217,2182,Stationary
265241,188330,63660,66334,50086,18953,15544,15632,Stationary
238941,49732,51193,41815,20804,7245,2731,1892,Stationary
35675,78592,66416,7796,6809,14080,5139,1182,Stationary
289897,17640,10154,1688,6649,3099,1755,389,Stationary
45954,178229,11796,37877,29106,14299,8384,5960,Stationary
1259313,310773,9463,8179,21894,10787,4287,8692,Stationary
62204,58771,21547,4045,6796,2191,831,494,Stationary
801905,164828,84538,39998,41155,24080,5041,1751,Stationary
382245,77232,10069,23816,7456,2224,488,475,Stationary
238746,189804,64332,21077,44737,7299,5343,5931,Stationary
1196503,237904,31431,16886,15042,16773,8065,5201,Stationary
86571,63359,9343,14700,2722,6731,6216,1623,Stationary
271571,140599,49915,30654,18928,22618,12349,5217,Stationary
14405,30050,13952,10097,26764,13208,9952,1533,Stationary
47286,8621,1710,1787,481,799,1139,206,Stationary
75275,24079,9957,8774,25639,13563,11359,2577,Stationary
27246,55299,39539,22677,15337,14227,2981,1513,Stationary
159711,51297,8972,11388,8033,2357,2204,641,Stationary
196529,33544,24087,10869,19420,10667,3452,6180,Stationary
77602,48676,61459,30456,8337,12196,6664,3198,Stationary
116882,14389,1995,4923,3511,1306,1464,1181,Stationary
513246,63833,4344,7526,6739,13678,5282,6495,Stationary
86008,8601,12376,17683,9571,6446,17704,3777,Stationary
103920,14131,643,4619,3806,617,1102,171,Stationary
417181,65025,35499,11810,16464,13426,6832,3691,Stationary
92183,39185,4990,8969,6408,4853,1215,263,Stationary
104982,26551,12647,2259,5576,3268,1918,1877,Stationary
159475,64949,30543,10808,7798,7646,10652,1440,Stationary
81664,39925,4670,5204,4014,4365,2266,1719,Stationary
521344,40181,5220,4550,4183,4571,1555,1261,Stationary
41229,56185,16887,3363,7477,9868,6353,3014,Stationary
266867,101423,23473,14983,13971,7550,5847,4448,Stationary
16003,12916,8012,3886,8142,5158,5730,1316,Stationary
90301,41215,9095,29125,15311,11135,9410,6494,Stationary
29305,12767,4585,2249,2814,6720,4090,7191,Stationary
108669,19499,6067,7951,3754,8126,1139,972,Stationary
191563,28362,4860,2904,3414,1437,1070,502,Stationary
699666,18528,8012,6813,3413,2001,1855,830,Stationary
15257,28358,8239,1107,4022,11844,8434,2064,Stationary
22683,7602,8187,17556,4884,3716,6587,1284,Stationary
326183,9461,1990,15632,9222,18237,14261,9160,Stationary
159169,41440,11639,6965,16746,8899,6116,2044,Stationary
69474,26143,5876,25486,15759,9460,7736,2603,Stationary
51380,70206,38386,21813,11367,5763,7509,4925,Stationary
101306,13421,11830,4939,6575,4572,11666,3411,Stationary
190664,12560,1475,908,2432,631,938,463,Stationary
164170,56103,7536,33833,8189,6141,9885,4238,Stationary
21106,25574,48376,2983,16915,6977,8024,4363,Stationary
327195,254217,15716,11496,13440,10787,6760,5009,Stationary
55544,31401,15335,14245,15937,5869,2327,822,Stationary
442476,25525,21792,3385,5170,11562,17083,2484,Stationary
314242,95723,9821,14476,19376,8187,11837,7482,Stationary
81645,16432,10597,6074,2860,14865,3686,1009,Stationary
844806,95040,10400,17993,13438,29632,23778,16249,Stationary
280864,275521,6271,872,65302,24378,18062,14393,Stationary
185780,109425,46462,7266,16823,12962,3732,4641,Stationary
54944,10626,17977,19437,17815,18870,10972,5553,Stationary
33821,22538,38411,22073,19283,11423,15586,5004,Stationary
3817,19395,19773,14518,11650,22647,10088,2427,Stationary
7877,13300,9956,16098,4644,20939,4548,6396,Stationary
8110,12936,7381,12650,11567,26569,9137,10638,Stationary
3772,5686,4618,4801,9685,8817,11971,12947,Stationary
6826,9972,4589,6490,8067,11774,7275,5132,Stationary
3785,11292,21671,2908,11847,9609,11598,5570,Stationary
20750,5060,15100,37006,29692,17445,4017,6688,Stationary
711815,11356,5956,9155,8004,3314,2120,2092,Stationary
4144,7574,12298,11423,7426,19398,18607,8713,Stationary
21737,3563,16782,14749,7982,15844,12386,6881,Stationary
4188,5304,1536,5865,14296,20751,15959,3325,Stationary
5163,10517,4787,4598,2236,8855,8374,2809,Stationary
20634,12173,9181,10467,2175,13405,7883,1409,Stationary
168021,47145,22141,11207,12447,31901,6521,5083,Stationary
9330,12436,14461,27897,3815,31420,8721,5781,Stationary
54532,27599,5598,8685,12642,14165,11702,7461,Stationary
72598,15158,18891,9347,11245,8577,6411,5080,Stationary
7955,8896,2186,13856,6729,8901,5511,10275,Stationary
17052,7192,6838,13669,4358,10207,20030,6382,Stationary
144665,188609,25306,11671,13239,20996,9782,6117,Stationary
3348,5456,16398,9369,21903,8893,6957,2904,Stationary
9476,18644,2894,19711,25490,14830,9087,15431,Stationary
7874,11534,4301,29070,16587,13563,20653,6146,Stationary
234984,15571,49664,5272,6638,5951,1990,1970,Stationary
3674567,650738,38094,49725,58824,42749,14889,16908,Stationary
69074,57323,13398,5757,5337,3493,2321,1127,Stationary
219294,64496,27170,10227,3790,3678,1448,1550,Stationary
972394,57325,23610,35364,16545,11518,7450,10738,Stationary
1005518,91453,22252,39081,5619,13696,24629,9751,Stationary
135429,31082,8086,4334,5886,6393,11462,5879,Stationary
1064247,571238,39387,59337,15646,24606,51833,43943,Stationary
34695,26284,5586,3253,1797,4752,1590,299,Stationary
476410,194411,8439,41898,28700,8965,27095,32703,Stationary
2281071,1938032,470793,147398,82158,53717,57654,71702,Stationary
518258,33192,11868,17254,6436,3404,13480,3534,Stationary
312847,49811,12611,7251,7983,5260,3778,4495,Stationary
1384893,729289,270909,27643,80502,91155,152442,66200,Stationary
651204,164286,56030,26071,8296,16275,14281,9555,Stationary
133803,59048,11277,8811,2590,1444,2686,1629,Stationary
2537772,81018,44159,91401,63270,20407,19688,6644,Stationary
498971,314300,11619,20141,76967,23228,7270,4176,Stationary
871020,47449,22329,59999,44401,47449,8012,4153,Stationary
1728515,463683,18820,14608,46957,20604,10705,6990,Stationary
241871,15984,5431,9945,6963,7153,2593,1516,Stationary
254775,21537,5624,2771,2298,1943,1271,576,Stationary
110899,29278,18379,6649,7713,5874,3850,1366,Stationary
14953,23893,7640,655,27943,13878,6939,5376,Stationary
79217,14211,16901,4832,7349,2233,1547,1350,Stationary
476911,61104,6402,6073,13813,11299,9493,2833,Stationary
325432,408517,105111,19259,48405,14486,6920,6793,Stationary
734385,194596,10206,19040,17435,13603,4002,3020,Stationary
184791,41917,9865,3974,9075,3215,2238,796,Stationary
88719,75649,33964,29767,13105,3433,10212,3749,Stationary
158803,34317,2908,7692,10676,2469,945,1559,Stationary
33767,9470,6698,9115,8873,15888,5382,1637,Stationary
8349,11404,3660,11932,10436,9457,4810,4638,Stationary
152474,14861,6557,1919,3422,4629,1128,1069,Stationary
35577,21718,6284,1400,13657,8260,9913,1577,Stationary
6764,4544,1425,10767,8371,9507,6098,4072,Stationary
9157,7450,1107,4712,10085,7758,15357,2268,Stationary
16782,7207,5555,5663,8317,6755,6852,4190,Stationary
4558,4587,6720,8661,5609,5927,5385,3353,Stationary
238861,132337,63166,46466,19498,18241,9201,13347,Stationary
88912,36861,32881,6073,2641,6434,1733,1779,Stationary
